Frames,CellNum,Area,CentroidX,CentroidY,MjrAxisLength,MnrAxisLength,Eccentricity,Orientation,ConvexArea,FilledArea,EquivDiameter,Solidity,Extent,Perimeter,PerimOld,ConvexPerim,FibLen,InscribeR,BlebLen,CenterX,CenterY
1,1,2135,187.31850117096,323.592505854801,112.553108140027,42.7754231764241,0.924967351508231,-24.0515980031257,4751,2135,52.1379557329358,0.449379078088823,0.246763754045307,419.525,443.972654789532,285.189,139.781814575195,10.6301460266113,105.053871154785,193,327
2,1,2147,184.376804843968,319.985561248253,129.135699616916,30.5327233507666,0.971646320013599,-4.20627292572534,4183,2147,52.2842739506479,0.513267989481234,0.428030303030303,410.453,432.07315985292,304.422,155.296508789062,10.8166542053223,76.284294128418,183,320
3,1,2244,174.633689839572,320.762032085561,140.180227553325,30.6257643875711,0.975842722896002,-6.21331842533259,4351,2244,53.4523108797525,0.515743507239715,0.358695652173913,411.172,434.901586977666,314.528,160.296524047852,10.1980390548706,81.9117202758789,177,319
4,1,2182,174.346929422548,318.358845096242,143.266305899021,28.0056591468137,0.980707741480464,-3.29366525317038,4348,2182,52.7087154710881,0.501839926402944,0.401545822598454,445.402,468.901586977666,324.162,167.296508789062,9,82.5980072021484,180,320
5,1,1664,163.808894230769,319.578725961538,102.128817370793,26.9118099418191,0.964657078098093,-12.5336677080955,2365,1664,46.0290191340127,0.703594080338266,0.411881188118812,263.681,277.220346110534,227.156,115.083297729492,11.7046995162964,77.284294128418,184,322
6,1,1962,156.691131498471,323.635066258919,111.268554012165,37.5466041932878,0.941346576490755,-19.8896482307714,3521,1962,49.9809562410563,0.557228060210168,0.259936406995231,351.899,371.0609665441,274.91,133.397018432617,11.1803398132324,91.1837921142578,175,326
7,1,2152,149.069237918216,329.703066914498,125.924505902242,31.9328571110979,0.967312501010375,-36.1554096005774,3526,2152,52.3451191637775,0.610323312535451,0.237213403880071,367.879,388.07315985292,286.575,145.923950195312,12.0415945053101,66.4264297485352,147,325
8,1,2432,144.856496710526,327.138569078947,131.845621902345,48.3712217791282,0.930269173463803,-38.786549758357,5257,2432,55.6463707064164,0.462621266882252,0.206101694915254,461.05,488.256926036994,332.15,170.066101074219,12.806248664856,79.4264373779297,145,325
9,1,2036,145.091355599214,320.874263261297,77.4414043835104,56.9535797241116,0.677588824049539,-44.7338420826035,4087,2036,50.9147887463043,0.498164913139222,0.308484848484848,374.27,396.274169979696,253.284,114.468086242676,13.0384044647217,62.5979995727539,148,323
10,1,1885,145.262599469496,322.264190981432,87.1256764625166,40.3861100253519,0.886076751515649,87.5959208158925,3266,1885,48.9903719298576,0.577158603796693,0.406162464985994,317.437,336.575685169861,223.552,113.568588256836,11.0453605651855,49.1421432495117,152,321
11,1,2175,142.787126436782,329.614252873563,120.444987715,32.0181162468555,0.964019407065702,85.0625514030978,3945,2175,52.6241010355424,0.551330798479088,0.418430165448249,377.662,398.416305603427,266.381,136.882293701172,9.48683261871338,89.8406524658203,139,354
12,1,2220,138.107207207207,339.290540540541,144.707971198512,42.4871798128195,0.955926413963542,82.6817723685193,5487,2220,53.165701249133,0.404592673592127,0.27536591416522,467.947,495.428498912247,330.854,162.953384399414,9.43398094177246,98.2548675537109,138,355
13,1,2417,133.660736450145,340.019859329748,140.56699225329,67.9005705712119,0.875594005635334,-88.9343948205698,7994,2417,55.4744984621302,0.302351763822867,0.201282478347768,504.767,533.126983722083,376.386,197.208251953125,9.84885787963867,121.024452209473,134,353
14,1,1886,143.742311770944,342.517497348887,115.18564986825,50.0758179595146,0.900555977142725,89.7838660011506,6506,1886,49.0033650004825,0.289886258837996,0.17941400304414,433.426,459.487373415293,347.06,174.580810546875,11.6619033813477,99.9117279052734,142,338
15,1,2023,140.194760257044,355.204152249135,98.589612162629,41.2847354599507,0.908099988223124,81.214891021294,4420,2023,50.7519812322557,0.457692307692308,0.362155388471178,369.613,391.303607231219,267.397,119.539154052734,13,73.9411544799805,144,340
16,1,1877,135.340969632392,366.591901971231,109.522008356091,32.941700935626,0.953694498890518,-77.7412623616698,3362,1877,48.886303045617,0.558298631766805,0.336018617973505,328.676,346.918830920369,263.869,138.367584228516,10.4403066635132,73.8700790405273,139,349
17,1,1719,136.356020942408,376.694589877836,97.3062856510443,29.1467786629144,0.954084859671133,-78.7539382728618,2790,1719,46.783531048861,0.616129032258064,0.368567753001715,334.795,355.504617357996,244.368,127.053871154785,10.1980390548706,69.5269317626953,133,367
1,2,2199,214.6230104593,968.25102319236,122.203249726791,45.0492978001906,0.929571293539338,-83.624820889569,4481,2199,52.9136443544822,0.490738674403035,0.286030176899063,344.214,363.948268171892,297.834,149.781814575195,12,84.9411468505859,221,981
2,2,1946,213.223021582734,969.993833504625,116.979668746757,37.4295831077952,0.947428834007788,-84.6627970232072,3524,1946,49.7767431041307,0.552213393870602,0.321652892561983,302.748,319.220346110534,277.456,143.367584228516,12.5299644470215,76.5269317626953,219,983
3,2,2238,210.705987488829,970.850759606792,130.779877721379,44.8996432072034,0.939217666813854,-83.7504687092992,4653,2238,53.3808027395364,0.480980012894906,0.30623973727422,349.043,369.462986797653,297.016,151.539169311523,11.4017543792725,82.9411468505859,218,983
4,2,2174,210.624195032199,966.506899724011,120.40027584111,51.9852029053541,0.901983836124145,-80.7498756578566,4741,2174,52.6120021502152,0.458553047880194,0.257521914238332,354.957,376.67619023325,306.057,147.953384399414,12.0415945053101,79.5269317626953,216,981
5,2,2164,208.689926062847,963.010628465804,119.729997677943,51.5799025241002,0.902446552576215,-80.9951572084348,4768,2164,52.4908599168169,0.453859060402685,0.244796380090498,359.052,380.475180106473,311.152,152.781814575195,12.2065553665161,82.6985015869141,215,976
7,2,2118,207.238432483475,960.434372049103,115.719712468022,51.2881824548737,0.896417605202373,-78.945706786757,4703,2118,51.9299658747151,0.450350839889432,0.245993031358885,350.824,370.717820793592,302.84,149.923950195312,12.0830459594727,78.3553619384766,214,975
12,2,2076,203.088631984586,965.154624277457,115.346564641304,50.4033341500329,0.899474623931531,-84.3878434746515,4601,2076,51.4125013481176,0.451206259508802,0.247880597014925,333.167,351.161471607488,303.013,151.338180541992,12.6491107940674,73.9411468505859,210,976
13,2,2073,203.579835986493,966.060299083454,114.482983137792,50.6819549681916,0.896668329627407,-83.9669317990627,4528,2073,51.3753401568884,0.457818021201413,0.255138461538462,337.203,357.303607231219,300.747,149.852890014648,12,74.1127166748047,211,976
